2015-03-18 19:03:39 status unpacked libc6:armhf 2.13-38+deb7u6
2015-03-18 19:03:39 install multiarch-support:armhf <none> 2.13-38+deb7u6
2015-03-18 19:03:39 status half-installed multiarch-support:armhf 2.13-38+deb7u6
2015-03-18 19:03:39 status unpacked multiarch-support:armhf 2.13-38+deb7u6
2015-03-18 19:03:39 status unpacked multiarch-support:armhf 2.13-38+deb7u6
2015-03-18 19:03:39 install findutils:armhf <none> 4.4.2-4
2015-03-18 19:03:39 status half-installed findutils:armhf 4.4.2-4
2015-03-18 19:03:40 status unpacked findutils:armhf 4.4.2-4
2015-03-18 19:03:40 status unpacked findutils:armhf 4.4.2-4
2015-03-18 19:03:40 install gcc-4.7-base:armhf <none> 4.7.2-5
2015-03-18 19:03:40 status half-installed gcc-4.7-base:armhf 4.7.2-5
2015-03-18 19:03:40 status unpacked gcc-4.7-base:armhf 4.7.2-5
2015-03-18 19:03:40 status unpacked gcc-4.7-base:armhf 4.7.2-5
2015-03-18 19:03:40 install libgcc1:armhf <none> 1:4.7.2-5
2015-03-18 19:03:40 status half-installed libgcc1:armhf 1:4.7.2-5
2015-03-18 19:03:40 status unpacked libgcc1:armhf 1:4.7.2-5
2015-03-18 19:03:40 status unpacked libgcc1:armhf 1:4.7.2-5
2015-03-18 19:03:40 install grep:armhf <none> 2.12-2
2015-03-18 19:03:40 status half-installed grep:armhf 2.12-2
2015-03-18 19:03:40 status unpacked grep:armhf 2.12-2
2015-03-18 19:03:40 status unpacked grep:armhf 2.12-2
2015-03-18 19:03:41 install gzip:armhf <none> 1.5-1.1
2015-03-18 19:03:41 status half-installed gzip:armhf 1.5-1.1
2015-03-18 19:03:41 status unpacked gzip:armhf 1.5-1.1
2015-03-18 19:03:41 status unpacked gzip:armhf 1.5-1.1
2015-03-18 19:03:41 install hostname:armhf <none> 3.11
2015-03-18 19:03:41 status half-installed hostname:armhf 3.11
2015-03-18 19:03:41 status unpacked hostname:armhf 3.11
2015-03-18 19:03:41 status unpacked hostname:armhf 3.11
2015-03-18 19:03:41 install insserv:armhf <none> 1.14.0-5
2015-03-18 19:03:41 status half-installed insserv:armhf 1.14.0-5
2015-03-18 19:03:41 status unpacked insserv:armhf 1.14.0-5
2015-03-18 19:03:41 status unpacked insserv:armhf 1.14.0-5
2015-03-18 19:03:41 install liblocale-gettext-perl:armhf <none> 1.05-7+b3
2015-03-18 19:03:41 status half-installed liblocale-gettext-perl:armhf 1.05-7+b3
2015-03-18 19:03:41 status unpacked liblocale-gettext-perl:armhf 1.05-7+b3
2015-03-18 19:03:41 status unpacked liblocale-gettext-perl:armhf 1.05-7+b3
2015-03-18 19:03:41 install libselinux1:armhf <none> 2.1.9-5
2015-03-18 19:03:41 status half-installed libselinux1:armhf 2.1.9-5
2015-03-18 19:03:41 status unpacked libselinux1:armhf 2.1.9-5
2015-03-18 19:03:41 status unpacked libselinux1:armhf 2.1.9-5
2015-03-18 19:03:42 install libsemanage-common:all <none> 2.1.6-6
2015-03-18 19:03:42 status half-installed libsemanage-common:all 2.1.6-6
2015-03-18 19:03:42 status unpacked libsemanage-common:all 2.1.6-6
2015-03-18 19:03:42 status unpacked libsemanage-common:all 2.1.6-6
2015-03-18 19:03:42 install libsemanage1:armhf <none> 2.1.6-6
2015-03-18 19:03:42 status half-installed libsemanage1:armhf 2.1.6-6
2015-03-18 19:03:42 status unpacked libsemanage1:armhf 2.1.6-6
2015-03-18 19:03:42 status unpacked libsemanage1:armhf 2.1.6-6
2015-03-18 19:03:42 install libsepol1:armhf <none> 2.1.4-3
2015-03-18 19:03:42 status half-installed libsepol1:armhf 2.1.4-3
2015-03-18 19:03:42 status unpacked libsepol1:armhf 2.1.4-3
2015-03-18 19:03:42 status unpacked libsepol1:armhf 2.1.4-3
2015-03-18 19:03:42 install libtext-charwidth-perl:armhf <none> 0.04-7+b2
2015-03-18 19:03:42 status half-installed libtext-charwidth-perl:armhf 0.04-7+b2
2015-03-18 19:03:42 status unpacked libtext-charwidth-perl:armhf 0.04-7+b2
2015-03-18 19:03:42 status unpacked libtext-charwidth-perl:armhf 0.04-7+b2
2015-03-18 19:03:42 install libtext-iconv-perl:armhf <none> 1.7-5
2015-03-18 19:03:42 status half-installed libtext-iconv-perl:armhf 1.7-5
2015-03-18 19:03:42 status unpacked libtext-iconv-perl:armhf 1.7-5
2015-03-18 19:03:42 status unpacked libtext-iconv-perl:armhf 1.7-5
2015-03-18 19:03:42 install libtext-wrapi18n-perl:all <none> 0.06-7
2015-03-18 19:03:42 status half-installed libtext-wrapi18n-perl:all 0.06-7
2015-03-18 19:03:42 status unpacked libtext-wrapi18n-perl:all 0.06-7
2015-03-18 19:03:42 status unpacked libtext-wrapi18n-perl:all 0.06-7
2015-03-18 19:03:43 install lsb-base:all <none> 4.1+Debian8+deb7u1
